a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
6	30	268-G30	B09	2503	0.86258	0	0	0.028332	0	0.076191	0	0.032896	0.000001	0.000001	0.109088	0.061229	0.000001	0.000001	0.000001	0.032896	0.000001	0.032897	0.085158	0.023929	-3111.42236	78	-1	0.60576	"5.783604e-01,1.486855e-01,2.461570e-02,1.321719e-01,5.719894e-02,1.507794e-02,2.820300e-02,1.182431e-02,3.862374e-03"	0.923421	0.158631	-0.11474	-3445.459569	9
6	31	268-G30	268-G24	2648	0.848805	0.00015	0.000002	0.04227	0	0.089166	0.006181	0.013426	0	0.004712	0.108774	0.055697	0.003129	0.003091	0	0.013428	0	0.013428	0.085402	0.023448	-3340.736599	82	-1	0.640852	"5.731115e-01,1.501449e-01,2.564286e-02,1.333319e-01,5.716548e-02,1.512876e-02,2.344264e-02,1.497458e-02,7.057372e-03"	0.858656	0.157626	-0.095827	-3708.397965	9
6	32	268-G30	268-G29	1899	0.876906	0.000038	0	0.023859	0	0.088025	0	0.01117	0.000001	0.00002	0.099196	0.035031	0.000011	0.000001	0.000001	0.01117	0.000001	0.011171	0.067133	0.032083	-2342.536273	78	-1	0.459584	"5.828308e-01,1.507855e-01,2.263245e-02,1.327070e-01,5.848841e-02,1.196871e-02,2.326657e-02,1.370140e-02,3.619069e-03"	0.784754	0.164727	-0.078166	-2582.526378	9
6	33	268-G30	268-G266	2657	0.783482	0.000003	0	0.1119	0.000001	0.104588	0.000001	0.000025	0.000001	0.000004	0.104614	0.111927	0.000002	0.000001	0.000002	0.000025	0.000001	0.000026	0.108273	-0.003656	-3366.61275	66	-1	0.64303	"5.732216e-01,1.457872e-01,2.890738e-02,1.427892e-01,4.831248e-02,1.568811e-02,2.589514e-02,1.423022e-02,5.168623e-03"	1.134335	0.129421	-0.14765	-3700.449011	7
6	34	268-G30	268-G261	2665	0.810975	0.000097	0	0.079006	0	0.057285	0.007877	0.039698	0.005061	0.011018	0.109922	0.123766	0.009024	0.009	0.005061	0.039698	0.005061	0.04476	0.120831	-0.010861	-3375.937823	98	-1	0.644966	"5.797321e-01,1.380204e-01,3.082455e-02,1.345248e-01,5.489449e-02,1.596938e-02,2.172274e-02,1.599556e-02,8.315973e-03"	0.957242	0.153741	-0.121169	-3719.552598	7
6	35	268-G30	268-G275	2678	0.795374	0.000047	0	0.095578	0	0.106629	0	0.002372	0	0.000023	0.109001	0.09795	0.000012	0	0	0.002372	0	0.002372	0.103499	0.005526	-3365.75544	102	-1	0.648112	"5.753662e-01,1.470212e-01,2.689547e-02,1.401501e-01,5.093320e-02,1.397313e-02,2.675707e-02,1.336419e-02,5.539453e-03"	1.05339	0.138345	-0.135387	-3707.382748	7
6	36	268-G30	B02	2266	0.885449	0	0	0.024632	0	0.012502	0	0.077416	0	0	0.089919	0.102049	0	0	0	0.077416	0	0.077416	0.095984	-0.006065	-2830.655598	106	-1	0.548403	"5.743535e-01,1.469703e-01,2.652298e-02,1.381742e-01,5.426090e-02,1.623530e-02,2.665373e-02,8.905799e-03,7.923312e-03"	0.980019	0.149289	-0.124383	-3138.077162	7
6	37	268-G30	B06	2572	0.860748	0.000075	0	0.036316	0.000033	0.052715	0	0.050113	0	0.000062	0.102828	0.086462	0.000035	0	0.000017	0.050113	0	0.050113	0.094699	0.008199	-3207.79594	70	-1	0.622459	"5.805959e-01,1.421535e-01,2.656605e-02,1.328496e-01,5.543623e-02,1.748858e-02,2.646904e-02,1.116083e-02,7.280203e-03"	0.956686	0.15542	-0.122149	-3579.385872	7
6	38	268-G30	281-G39	2475	0.830312	0	0.000003	0.061709	0	0.032369	0.007545	0.068061	0	0.005662	0.107975	0.12977	0.003774	0.003773	0	0.068063	0	0.068063	0.122648	-0.01467	-3143.705186	506	-1	0.598984	"5.788633e-01,1.351172e-01,3.364982e-02,1.370517e-01,5.760739e-02,1.142589e-02,2.566065e-02,1.430186e-02,6.322264e-03"	1.029564	0.161272	-0.147693	-3472.430475	9
6	39	268-G30	B27	1831	0.849239	0.000017	0	0.02157	0	0.129021	0	0.000152	0.000001	0.00001	0.129174	0.021723	0.000006	0.000001	0.000001	0.000152	0.000001	0.000153	0.075457	0.053726	-2293.651675	74	-1	0.443127	"5.746983e-01,1.623867e-01,2.414191e-02,1.242057e-01,5.565414e-02,1.335238e-02,2.784176e-02,1.571053e-02,2.008519e-03"	0.934048	0.151383	-0.113155	-2537.423814	7
