a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
62	71	Y11	Y28	4861	0.890694	0.000003	0	0.022783	0.001576	0.04428	0	0.040664	0	0.001184	0.084944	0.065023	0.000789	0	0.000788	0.040664	0	0.040664	0.075773	0.010749	-6039.274385	118	-1	0.922391	"5.752255e-01,1.368128e-01,2.449534e-02,1.416322e-01,5.963615e-02,1.479694e-02,2.601192e-02,1.462709e-02,6.762072e-03"	0.846924	0.166407	-0.096873	-6771.145969	7
62	72	Y11	Y25	5003	0.856114	0.000013	0	0.049135	0.000002	0.069221	0	0.025517	0	0.000008	0.094737	0.074653	0.000004	0	0.000001	0.025517	0	0.025517	0.084702	0.010043	-6340.586275	54	-1	0.949336	"5.663200e-01,1.456981e-01,2.636084e-02,1.401208e-01,5.938991e-02,1.422785e-02,2.743104e-02,1.466631e-02,5.785107e-03"	0.905741	0.161164	-0.111176	-7020.278745	6
62	73	Y11	Y26	4842	0.859927	0.000021	0	0.050523	0	0.073076	0.000245	0.016209	0	0.000194	0.08953	0.066732	0.000128	0.000123	0	0.016209	0	0.016209	0.078264	0.011276	-6028.224312	74	-1	0.918786	"5.756397e-01,1.392775e-01,2.384246e-02,1.411165e-01,5.755405e-02,1.535348e-02,2.507288e-02,1.623433e-02,5.909122e-03"	0.849903	0.159475	-0.094305	-6732.047799	9
62	74	Y11	Y20	5019	0.831808	0.000002	0	0.065341	0.008681	0.050819	0	0.043349	0	0.006512	0.094167	0.117371	0.004341	0	0.004341	0.043349	0	0.043349	0.110111	-0.007261	-6326.330691	126	-1	0.952372	"5.732266e-01,1.370887e-01,2.708139e-02,1.424115e-01,5.644367e-02,1.582023e-02,2.719848e-02,1.400382e-02,6.725633e-03"	0.961664	0.155234	-0.123436	-6999.933604	6
62	75	Y11	Y30	4912	0.881307	0	0	0.024309	0	0.066603	0.000118	0.026868	0.000794	0.000883	0.094384	0.051971	0.000854	0.000853	0.000794	0.026868	0.000794	0.027663	0.073237	0.021147	-6111.676963	70	-1	0.932068	"5.740457e-01,1.425207e-01,2.124752e-02,1.435248e-01,5.652507e-02,1.396402e-02,2.732045e-02,1.520068e-02,5.651130e-03"	0.859229	0.155383	-0.094828	-6792.23272	9
62	76	Y11	281-G74	4927	0.904631	0	0	0.001575	0.001935	0.083371	0	0.008487	0	0.001452	0.091859	0.011997	0.000968	0	0.000968	0.008487	0	0.008487	0.052896	0.040898	-6222.891711	142	-1	0.934915	"5.626838e-01,1.558446e-01,1.899057e-02,1.370459e-01,6.365042e-02,1.434879e-02,2.584346e-02,1.726701e-02,4.325460e-03"	0.704379	0.172335	-0.057586	-6897.851162	9
62	77	Y11	281-G63	4983	0.893026	0.00001	0	0.017887	0	0.089077	0	0.000001	0	0.000005	0.089077	0.017887	0.000003	0	0	0.000001	0	0.000001	0.053487	0.035595	-6221.567872	70	-1	0.945541	"5.643955e-01,1.527225e-01,2.080714e-02,1.429314e-01,5.915914e-02,1.312030e-02,2.468864e-02,1.797887e-02,4.196522e-03"	0.769041	0.158924	-0.071522	-6945.871829	7
62	78	Y11	287-G36	4113	0.831005	0.000019	0	0.077969	0.000004	0.090968	0	0.000034	0.000001	0.000013	0.091003	0.078009	0.000008	0.000001	0.000003	0.000034	0.000001	0.000035	0.084517	0.006499	-5183.894889	62	-1	0.780455	"5.706507e-01,1.423609e-01,2.478623e-02,1.427087e-01,5.603614e-02,1.625884e-02,2.769415e-02,1.528851e-02,4.215844e-03"	0.936545	0.151819	-0.114126	-5750.628093	7
63	64	Y17	Y12	4655	0.921794	0.000006	0	0.019828	0	0.000799	0.003744	0.053828	0.000001	0.002812	0.058372	0.073657	0.001874	0.001873	0.000001	0.053828	0.000001	0.053829	0.06789	-0.009515	-5876.247077	162	-1	0.883302	"5.670914e-01,1.270373e-01,2.366642e-02,1.509939e-01,6.999907e-02,1.377124e-02,2.578570e-02,1.528933e-02,6.365681e-03"	0.706468	0.196327	-0.064652	-6567.116362	9
63	65	Y17	Y16	4701	0.897238	0	0	0.051507	0	0.02486	0	0.026394	0	0	0.051254	0.077901	0	0	0	0.026394	0	0.026394	0.064578	-0.013324	-5951.794185	102	-1	0.89203	"5.525843e-01,1.380334e-01,2.655196e-02,1.550665e-01,6.354444e-02,1.656782e-02,2.784151e-02,1.450112e-02,5.308923e-03"	0.855991	0.167857	-0.100259	-6699.271044	9
63	66	Y17	281-G59	4777	0.866178	0	0	0.0783	0	0.037551	0	0.017969	0.000002	0.000002	0.055522	0.09627	0.000002	0.000002	0.000002	0.017969	0.000002	0.017971	0.075896	-0.020374	-6021.112924	62	-1	0.906452	"5.626755e-01,1.302906e-01,2.547419e-02,1.571983e-01,6.237388e-02,1.483077e-02,2.594679e-02,1.602211e-02,5.187864e-03"	0.824399	0.168686	-0.091332	-6718.664678	6
63	67	Y17	Y22	4748	0.873481	0.013908	0.001152	0.045895	0.013313	0.011411	0.000004	0.040837	0	0.018094	0.052252	0.100045	0.010711	0.000002	0.006657	0.041989	0	0.041989	0.090912	-0.017242	-6197.188256	90	-1	0.900949	"5.531280e-01,1.367585e-01,2.704561e-02,1.459538e-01,7.049606e-02,1.947417e-02,2.698471e-02,1.431605e-02,5.843156e-03"	0.76643	0.190256	-0.082109	-6830.355432	6
